episode_title,episode_id,episode_num,imbd
"Good News, Bad News",S01E01,1,tt0098286
The Stakeout,S01E02,2,tt0697784
The Robbery,S01E03,3,tt0697768
Male Unbonding,S01E04,4,tt0697645
The Stock Tip,S01E05,5,tt0697788
The Ex-Girlfriend,S02E01,6,tt0697692
The Pony Remark,S02E02,7,tt0697757
The Jacket,S02E03,8,tt0697713
The Phone Message,S02E04,9,tt0697751
The Apartment,S02E05,10,tt0697650
The Statue,S02E06,11,tt0697787
The Revenge,S02E07,12,tt0697766
The Heart Attack,S02E08,13,tt0697709
The Deal,S02E09,14,tt0697682
The Baby Shower,S02E10,15,tt0697652
The Chinese Restaurant,S02E11,16,tt0697675
The Busboy,S02E12,17,tt0697664
The Note,S03E01,18,tt0697741
The Truth,S03E02,19,tt0697801
The Pen,S03E03,20,tt0697749
The Dog,S03E04,21,tt0697686
The Library,S03E05,22,tt0697721
The Parking Garage,S03E06,23,tt0697747
The Cafe,S03E07,24,tt0697668
The Tape,S03E08,25,tt0697797
The Nose Job,S03E09,26,tt0697740
The Stranded,S03E10,27,tt0697789
The Alternate Side,S03E11,28,tt0697648
The Red Dot,S03E12,29,tt0697765
The Subway,S03E13,30,tt0697792
The Pez Dispenser,S03E14,31,tt0697750
The Suicide,S03E15,32,tt0697793
The Fix-Up,S03E16,33,tt0697698
The Boyfriend,S03E17,34,tt0697738
The Limo,S03E18,35,tt0697722
The Good Samaritan,S03E19,36,tt0697704
The Letter,S03E20,37,tt0697720
The Parking Space,S03E21,38,tt0697748
The Keys,S03E22,39,tt0697717
The Trip (1),S04E01,40,tt0697799
The Trip (2),S04E02,41,tt0697800
The Pitch,S04E03,42,tt0697755
The Ticket,S04E04,43,tt0697798
The Wallet (1),S04E05,44,tt0697808
The Watch (2),S04E06,45,tt0697809
The Bubble Boy,S04E07,46,tt0697662
The Cheever Letters,S04E08,47,tt0697673
The Opera,S04E09,48,tt0697743
The Virgin,S04E10,49,tt0697804
The Contest,S04E11,50,tt0697679
The Airport,S04E12,51,tt0697647
The Pick,S04E13,52,tt0697752
The Movie,S04E14,53,tt0697735
The Visa,S04E15,54,tt0697805
The Shoes,S04E16,55,tt0697775
The Outing,S04E17,56,tt0697745
The Old Man,S04E18,57,tt0697742
The Implant,S04E19,58,tt0697711
The Junior Mint,S04E20,59,tt0697715
The Smelly Car,S04E21,60,tt0697778
The Handicap Spot,S04E22,61,tt0697708
The Pilot,S04E23,62,tt0697754
The Mango,S05E01,63,tt0697728
The Puffy Shirt,S05E02,64,tt0697762
The Glasses,S05E03,65,tt0697703
The Sniffing Accountant,S05E04,66,tt0697779
The Bris,S05E05,67,tt0697661
The Lip Reader,S05E06,68,tt0697723
The Non-Fat Yogurt,S05E07,69,tt0697739
The Barber,S05E08,70,tt0697653
The Masseuse,S05E09,71,tt0697730
The Cigar Store Indian,S05E10,72,tt0697677
The Conversion,S05E11,73,tt0697680
The Stall,S05E12,74,tt0697785
The Dinner Party,S05E13,75,tt0697684
The Marine Biologist,S05E14,76,tt0697729
The Pie,S05E15,77,tt0697753
The Stand-In,S05E16,78,tt0697786
The Wife,S05E17,79,tt0697810
The Raincoats,S05E18,80,tt0697764
The Fire,S05E19,81,tt0697697
The Hamptons,S05E20,82,tt0697707
The Opposite,S05E21,83,tt0697744
The Chaperone,S06E01,84,tt0697671
The Big Salad,S06E02,85,tt0697656
The Pledge Drive,S06E03,86,tt0697756
The Chinese Woman,S06E04,87,tt0697676
The Couch,S06E05,88,tt0697681
The Gymnast,S06E06,89,tt0697706
The Soup,S06E07,90,tt0697781
The Mom &amp; Pop Store,S06E08,91,tt0697733
The Secretary,S06E09,92,tt0697772
The Race,S06E10,93,tt0697763
The Switch,S06E11,94,tt0697796
The Label Maker,S06E12,95,tt0697719
The Scofflaw,S06E13,96,tt0697770
The Highlights of a Hundred,S06E14,97,tt0697644
The Beard,S06E15,98,tt0697654
The Kiss Hello,S06E16,99,tt0697718
The Doorman,S06E17,100,tt0697689
The Jimmy,S06E18,101,tt0697714
The Doodle,S06E19,102,tt0697688
The Fusilli Jerry,S06E20,103,tt0697702
The Diplomat's Club,S06E21,104,tt0697685
